company_name,cif,external_id,country,cnae_code,year,revenue,ebitda,net_income,total_assets,equity,cash_and_equivalents,financial_debt_st,financial_debt_lt,employees
Distribuciones Ibéricas,R55691464,ES001,España,4619,2019,45000000,6750000,3800000,38000000,15000000,4200000,2500000,8000000,120
Distribuciones Ibéricas,R55691464,ES001,España,4619,2020,42000000,5880000,3100000,37000000,14500000,3800000,2800000,7500000,115
Distribuciones Ibéricas,R55691464,ES001,España,4619,2021,48000000,7200000,4200000,40000000,16000000,4500000,2600000,8200000,125
Distribuciones Ibéricas,R55691464,ES001,España,4619,2022,52000000,8320000,5000000,43000000,18000000,5000000,2400000,8500000,130
Distribuciones Ibéricas,R55691464,ES001,España,4619,2023,56000000,9520000,5800000,46000000,20000000,5500000,2200000,8000000,135
Comercial del Levante,V48030884,ES002,España,4619,2019,28000000,3920000,2000000,24000000,9500000,2800000,1500000,5000000,85
Comercial del Levante,V48030884,ES002,España,4619,2020,25000000,3000000,1400000,23000000,8800000,2500000,1800000,5200000,82
Comercial del Levante,V48030884,ES002,España,4619,2021,30000000,4500000,2600000,26000000,10200000,3000000,1600000,5100000,88
Comercial del Levante,V48030884,ES002,España,4619,2022,33000000,5280000,3200000,28000000,11500000,3300000,1400000,4800000,92
Comercial del Levante,V48030884,ES002,España,4619,2023,36000000,5760000,3500000,30000000,12800000,3800000,1200000,4500000,95
Alimentaria Castilla,C85348236,ES003,España,4619,2019,120000000,15600000,8500000,95000000,35000000,12000000,5000000,22000000,310
Alimentaria Castilla,C85348236,ES003,España,4619,2020,115000000,13800000,7200000,93000000,33500000,11000000,5500000,23000000,305
Alimentaria Castilla,C85348236,ES003,España,4619,2021,130000000,18200000,10000000,100000000,38000000,13000000,4800000,21000000,320
Alimentaria Castilla,C85348236,ES003,España,4619,2022,142000000,21300000,12500000,108000000,42000000,14500000,4500000,20000000,330
Alimentaria Castilla,C85348236,ES003,España,4619,2023,155000000,24800000,15000000,115000000,47000000,16000000,4000000,19000000,345
Suministros del Norte,F74881663,ES004,España,4619,2019,8500000,1020000,450000,7200000,2800000,900000,600000,2000000,35
Suministros del Norte,F74881663,ES004,España,4619,2020,7800000,780000,200000,7000000,2600000,750000,700000,2100000,33
Suministros del Norte,F74881663,ES004,España,4619,2021,9200000,1288000,620000,7800000,3100000,1000000,550000,1900000,37
Suministros del Norte,F74881663,ES004,España,4619,2022,10500000,1575000,800000,8500000,3500000,1200000,500000,1800000,40
Suministros del Norte,F74881663,ES004,España,4619,2023,11200000,1792000,950000,9000000,3900000,1400000,450000,1700000,42
Supermercados Sol,C70642728,ES005,España,4711,2019,85000000,5100000,2800000,60000000,22000000,8000000,3000000,12000000,450
Supermercados Sol,C70642728,ES005,España,4711,2020,92000000,6440000,3600000,65000000,24000000,9000000,2800000,11500000,470
Supermercados Sol,C70642728,ES005,España,4711,2021,98000000,7350000,4200000,68000000,26000000,10000000,2500000,11000000,490
Supermercados Sol,C70642728,ES005,España,4711,2022,105000000,8400000,5000000,72000000,28500000,11000000,2200000,10500000,510
Supermercados Sol,C70642728,ES005,España,4711,2023,112000000,9520000,5800000,76000000,31000000,12000000,2000000,10000000,530
Mercadona Express,W59798615,ES006,España,4711,2019,250000000,17500000,10000000,180000000,65000000,25000000,8000000,35000000,1200
Mercadona Express,W59798615,ES006,España,4711,2020,270000000,21600000,13000000,190000000,70000000,28000000,7500000,33000000,1250
Mercadona Express,W59798615,ES006,España,4711,2021,290000000,24650000,15000000,200000000,76000000,30000000,7000000,31000000,1300
Mercadona Express,W59798615,ES006,España,4711,2022,310000000,27900000,17000000,215000000,82000000,32000000,6500000,29000000,1350
